#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species H as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1
       -8.39732888        0.62566649        0.61103521        0.01463128
       -8.38063439        0.37172462        0.35769566        0.01402896
       -8.36393990        0.17847729        0.16870240        0.00977490
       -8.34724541        0.11929498        0.10871957        0.01057542
       -8.33055092        0.13725915        0.12373678        0.01352236
       -8.31385643        0.12186369        0.10948150        0.01238219
       -8.29716194        0.16096266        0.14417452        0.01678814
       -8.28046745        0.25613513        0.22548497        0.03065016
       -8.26377295        0.12555669        0.11158795        0.01396874
       -8.24707846        0.11423202        0.10022117        0.01401085
       -8.23038397        0.23141628        0.19962464        0.03179164
       -8.21368948        0.24407968        0.21025527        0.03382441
       -8.19699499        0.17294085        0.14823825        0.02470259
       -8.18030050        0.12905133        0.11092170        0.01812964
       -8.16360601        0.11596934        0.09977701        0.01619233
       -8.14691152        0.13917364        0.11868345        0.02049018
       -8.13021703        0.12130583        0.10258530        0.01872054
       -8.11352254        0.09122659        0.07734320        0.01388339
       -8.09682805        0.14251844        0.12013655        0.02238189
       -8.08013356        0.08739187        0.07280892        0.01458295
       -8.06343907        0.12298530        0.10223445        0.02075085
       -8.04674457        0.20500609        0.17068330        0.03432279
       -8.03005008        0.09076015        0.07590184        0.01485830
       -8.01335559        0.28393256        0.23573401        0.04819855
       -7.99666110        0.14574815        0.11976877        0.02597938
       -7.97996661        0.11681563        0.09613984        0.02067579
       -7.96327212        0.08076961        0.06634662        0.01442299
       -7.94657763        0.19278526        0.15788939        0.03489587
       -7.92988314        0.17265363        0.14200190        0.03065173
       -7.91318865        0.23788125        0.19523687        0.04264438
       -7.89649416        0.26185580        0.21555065        0.04630516
       -7.87979967        0.23526792        0.19246787        0.04280005
       -7.86310518        0.17037292        0.13918403        0.03118889
       -7.84641068        0.10038177        0.08195351        0.01842827
       -7.82971619        0.12595880        0.10277007        0.02318873
       -7.81302170        0.15698432        0.12813966        0.02884466
       -7.79632721        0.11017104        0.08980642        0.02036462
       -7.77963272        0.07419246        0.05977910        0.01441337
       -7.76293823        0.07738530        0.06166511        0.01572019
       -7.74624374        0.06622544        0.05252467        0.01370077
       -7.72954925        0.10137975        0.08122020        0.02015955
       -7.71285476        0.18664828        0.15112269        0.03552559
       -7.69616027        0.24759577        0.20166995        0.04592582
       -7.67946578        0.36294760        0.29607868        0.06686892
       -7.66277129        0.41751286        0.33906516        0.07844771
       -7.64607679        0.78176611        0.62759166        0.15417445
       -7.62938230        0.54432484        0.43798355        0.10634129
       -7.61268781        0.63321529        0.50852330        0.12469199
       -7.59599332        0.68870085        0.55216132        0.13653953
       -7.57929883        0.59485284        0.47294093        0.12191190
       -7.56260434        0.85505935        0.67406246        0.18099689
       -7.54590985        0.37467671        0.29190852        0.08276819
       -7.52921536        0.41291209        0.31936998        0.09354210
       -7.51252087        0.37992186        0.29623992        0.08368194
       -7.49582638        0.35860232        0.27743018        0.08117214
       -7.47913189        0.29570687        0.22767758        0.06802929
       -7.46243740        0.19454621        0.15012329        0.04442293
       -7.44574290        0.31594773        0.24374460        0.07220313
       -7.42904841        0.54611230        0.42537520        0.12073710
       -7.41235392        0.62672172        0.48916507        0.13755664
       -7.39565943        0.48704412        0.37861186        0.10843226
       -7.37896494        0.44773841        0.34444792        0.10329049
       -7.36227045        0.36517143        0.27936057        0.08581085
       -7.34557596        0.41853406        0.32058872        0.09794534
       -7.32888147        0.32571676        0.24975815        0.07595861
       -7.31218698        0.22489471        0.17579438        0.04910034
       -7.29549249        0.49838693        0.38758348        0.11080345
       -7.27879800        0.65981926        0.51429679        0.14552248
       -7.26210351        0.40807584        0.32036161        0.08771423
       -7.24540902        0.34449849        0.27115857        0.07333992
       -7.22871452        0.34412612        0.27098151        0.07314460
       -7.21202003        0.44833663        0.34950508        0.09883155
       -7.19532554        0.64266507        0.49828548        0.14437959
       -7.17863105        0.99560191        0.76340577        0.23219614
       -7.16193656        0.28209421        0.21610192        0.06599229
       -7.14524207        0.72670085        0.56482524        0.16187561
       -7.12854758        0.68776622        0.53709955        0.15066667
       -7.11185309        1.05349846        0.82342851        0.23006995
       -7.09515860        0.87357589        0.68024553        0.19333037
       -7.07846411        0.78008539        0.60581829        0.17426710
       -7.06176962        0.84919541        0.65721110        0.19198432
       -7.04507513        0.65336997        0.50272187        0.15064810
       -7.02838063        0.48690683        0.37286409        0.11404274
       -7.01168614        0.65432005        0.49970588        0.15461416
       -6.99499165        0.55689336        0.42495023        0.13194313
       -6.97829716        0.58460090        0.44359868        0.14100222
       -6.96160267        0.62751955        0.47176517        0.15575439
       -6.94490818        0.42282760        0.31711677        0.10571083
       -6.92821369        0.50170640        0.37864587        0.12306053
       -6.91151920        0.55906606        0.42169295        0.13737310
       -6.89482471        0.66232630        0.49472933        0.16759696
       -6.87813022        1.37231430        1.02428901        0.34802529
       -6.86143573        0.82913236        0.58710157        0.24203079
       -6.84474124        0.88160852        0.56243511        0.31917341
       -6.82804674        1.84085345        1.00979095        0.83106250
       -6.81135225        2.64173720        1.21188098        1.42985623
       -6.79465776        5.07786758        2.15939032        2.91847727
       -6.77796327        1.77219164        0.75788946        1.01430218
       -6.76126878        2.18660199        1.08672796        1.09987403
       -6.74457429        2.04217407        0.90498549        1.13718858
       -6.72787980        3.16474159        1.42988081        1.73486078
       -6.71118531        2.49045876        1.31855188        1.17190688
       -6.69449082        3.14344996        1.90492455        1.23852541
       -6.67779633        3.80966955        2.35891490        1.45075465
       -6.66110184        1.57655120        1.03496209        0.54158912
       -6.64440735        2.31263776        1.54677118        0.76586658
       -6.62771285        6.07191017        4.10529673        1.96661344
       -6.61101836        4.16025716        2.86032025        1.29993691
       -6.59432387        4.12595983        2.82092195        1.30503788
       -6.57762938        3.57484708        2.44540677        1.12944031
       -6.56093489        3.44452919        2.40333619        1.04119300
       -6.54424040        2.24819115        1.57686388        0.67132728
       -6.52754591        2.84463051        2.01459544        0.83003507
       -6.51085142        1.52199683        1.08784150        0.43415533
       -6.49415693        1.29423275        0.92969733        0.36453542
       -6.47746244        1.04371913        0.74635513        0.29736399
       -6.46076795        1.18538555        0.85122789        0.33415765
       -6.44407346        1.17191722        0.84053454        0.33138268
       -6.42737896        1.07046730        0.76378129        0.30668602
       -6.41068447        1.73046090        1.25692455        0.47353635
       -6.39398998        1.41267350        1.04614521        0.36652829
       -6.37729549        0.82832110        0.61575411        0.21256699
       -6.36060100        0.54421996        0.40333155        0.14088841
       -6.34390651        0.59937784        0.44626282        0.15311502
       -6.32721202        0.79597330        0.59240485        0.20356845
       -6.31051753        0.83615768        0.62820233        0.20795535
       -6.29382304        0.96309604        0.73863706        0.22445898
       -6.27712855        0.89741575        0.68674153        0.21067422
       -6.26043406        0.47866735        0.36628054        0.11238681
       -6.24373957        0.38946809        0.29643207        0.09303602
       -6.22704508        0.08605526        0.06655237        0.01950288
       -6.21035058        0.05987866        0.04664779        0.01323087
       -6.19365609        0.07965657        0.06160064        0.01805593
       -6.17696160        0.19814285        0.15041309        0.04772977
       -6.16026711        0.90627917        0.69877207        0.20750709
       -6.14357262        0.93741399        0.73605466        0.20135933
       -6.12687813        1.49113592        1.15404569        0.33709023
       -6.11018364        1.30700344        1.00815569        0.29884775
       -6.09348915        0.77549670        0.61348543        0.16201127
       -6.07679466        1.73527614        1.38508929        0.35018685
       -6.06010017        3.05321057        2.44533081        0.60787976
       -6.04340568        1.62621371        1.29174014        0.33447357
       -6.02671119        0.76830765        0.62029075        0.14801690
       -6.01001669        1.98577220        1.58257513        0.40319707
       -5.99332220        1.15173693        0.91317093        0.23856600
       -5.97662771        1.92554248        1.54581398        0.37972849
       -5.95993322        1.47491812        1.18492974        0.28998838
       -5.94323873        2.56387059        2.04032526        0.52354533
       -5.92654424        1.45884559        1.16073897        0.29810661
       -5.90984975        0.77376681        0.60828446        0.16548235
       -5.89315526        0.66778063        0.51786063        0.14991999
       -5.87646077        0.79617283        0.61234968        0.18382315
       -5.85976628        4.52293557        3.57332110        0.94961446
       -5.84307179        1.98201601        1.55916822        0.42284779
       -5.82637730        1.23366803        0.94228597        0.29138206
       -5.80968280        2.06650819        1.63399277        0.43251542
       -5.79298831        2.51108553        1.96478820        0.54629733
       -5.77629382        0.75001517        0.56928543        0.18072975
       -5.75959933        0.53905957        0.41220534        0.12685423
       -5.74290484        1.91615999        1.49426217        0.42189782
       -5.72621035        0.88591532        0.69304622        0.19286910
       -5.70951586        3.32401552        2.56819975        0.75581577
       -5.69282137        1.36190705        1.02502342        0.33688363
       -5.67612688        0.79670667        0.54506928        0.25163739
       -5.65943239        0.00000000        0.00000000        0.00000000
       -5.64273790        0.00000000        0.00000000        0.00000000
       -5.62604341        0.00000000        0.00000000        0.00000000
       -5.60934891        0.08125339        0.06636471        0.01488868
       -5.59265442        0.12146024        0.09754652        0.02391372
       -5.57595993        0.15416829        0.12153280        0.03263549
       -5.55926544        0.32767670        0.25238931        0.07528739
       -5.54257095        0.53599512        0.40234816        0.13364695
       -5.52587646        0.56334628        0.41034808        0.15299820
       -5.50918197        0.42489434        0.31458760        0.11030674
       -5.49248748        0.43810948        0.32177143        0.11633806
       -5.47579299        0.60277149        0.44067670        0.16209478
       -5.45909850        0.06586680        0.04714564        0.01872116
       -5.44240401        0.32735966        0.23846991        0.08888975
       -5.42570952        0.36708413        0.26643326        0.10065087
       -5.40901503        0.26842960        0.19458839        0.07384121
       -5.39232053        0.16890107        0.12304683        0.04585425
       -5.37562604        0.23226974        0.16996426        0.06230548
       -5.35893155        0.17009856        0.12454949        0.04554906
       -5.34223706        0.15533656        0.11354375        0.04179281
       -5.32554257        0.16293506        0.11876389        0.04417117
       -5.30884808        0.11233609        0.08149425        0.03084184
       -5.29215359        0.11993205        0.08633642        0.03359564
       -5.27545910        0.07278991        0.05168549        0.02110442
       -5.25876461        0.06144756        0.04329164        0.01815593
       -5.24207012        0.05485825        0.03833055        0.01652770
       -5.22537563        0.04877434        0.03385183        0.01492251
       -5.20868114        0.03984282        0.02751807        0.01232475
       -5.19198664        0.03380282        0.02325861        0.01054421
       -5.17529215        0.02883350        0.01977189        0.00906161
       -5.15859766        0.02400507        0.01640421        0.00760086
       -5.14190317        0.01931754        0.01315559        0.00616195
       -5.12520868        0.01457534        0.00989246        0.00468288
       -5.10851419        0.00701158        0.00473666        0.00227492
       -5.09181970        0.00000000        0.00000000        0.00000000
       -5.07512521        0.00000000        0.00000000        0.00000000
       -5.05843072        0.00000000        0.00000000        0.00000000
       -5.04173623        0.00000000        0.00000000        0.00000000
       -5.02504174        0.00000000        0.00000000        0.00000000
       -5.00834725        0.00000000        0.00000000        0.00000000
       -4.99165275        0.00000000        0.00000000        0.00000000
       -4.97495826        0.00000000        0.00000000        0.00000000
       -4.95826377        0.00000000        0.00000000        0.00000000
       -4.94156928        0.00000000        0.00000000        0.00000000
       -4.92487479        0.00000000        0.00000000        0.00000000
       -4.90818030        0.00000000        0.00000000        0.00000000
       -4.89148581        0.00000000        0.00000000        0.00000000
       -4.87479132        0.00000000        0.00000000        0.00000000
       -4.85809683        0.00000000        0.00000000        0.00000000
       -4.84140234        0.00000000        0.00000000        0.00000000
       -4.82470785        0.00000000        0.00000000        0.00000000
       -4.80801336        0.00000000        0.00000000        0.00000000
       -4.79131886        0.00000000        0.00000000        0.00000000
       -4.77462437        0.00000000        0.00000000        0.00000000
       -4.75792988        0.00000000        0.00000000        0.00000000
       -4.74123539        0.00000000        0.00000000        0.00000000
       -4.72454090        0.00000000        0.00000000        0.00000000
       -4.70784641        0.00000000        0.00000000        0.00000000
       -4.69115192        0.00000000        0.00000000        0.00000000
       -4.67445743        0.00000000        0.00000000        0.00000000
       -4.65776294        0.00000000        0.00000000        0.00000000
       -4.64106845        0.00000000        0.00000000        0.00000000
       -4.62437396        0.00000000        0.00000000        0.00000000
       -4.60767947        0.00000000        0.00000000        0.00000000
       -4.59098497        0.00000000        0.00000000        0.00000000
       -4.57429048        0.00000000        0.00000000        0.00000000
       -4.55759599        0.00000000        0.00000000        0.00000000
       -4.54090150        0.00000000        0.00000000        0.00000000
       -4.52420701        0.00000000        0.00000000        0.00000000
       -4.50751252        0.00000000        0.00000000        0.00000000
       -4.49081803        0.00000000        0.00000000        0.00000000
       -4.47412354        0.00000000        0.00000000        0.00000000
       -4.45742905        0.00000000        0.00000000        0.00000000
       -4.44073456        0.00000000        0.00000000        0.00000000
       -4.42404007        0.00000000        0.00000000        0.00000000
       -4.40734558        0.00000000        0.00000000        0.00000000
       -4.39065109        0.00000000        0.00000000        0.00000000
       -4.37395659        0.00000000        0.00000000        0.00000000
       -4.35726210        0.00000000        0.00000000        0.00000000
       -4.34056761        0.00000000        0.00000000        0.00000000
       -4.32387312        0.00000000        0.00000000        0.00000000
       -4.30717863        0.00000000        0.00000000        0.00000000
       -4.29048414        0.00000000        0.00000000        0.00000000
       -4.27378965        0.00000000        0.00000000        0.00000000
       -4.25709516        0.00000000        0.00000000        0.00000000
       -4.24040067        0.00000000        0.00000000        0.00000000
       -4.22370618        0.00000000        0.00000000        0.00000000
       -4.20701169        0.00000000        0.00000000        0.00000000
       -4.19031720        0.00000000        0.00000000        0.00000000
       -4.17362270        0.00000000        0.00000000        0.00000000
       -4.15692821        0.00000000        0.00000000        0.00000000
       -4.14023372        0.00000000        0.00000000        0.00000000
       -4.12353923        0.00000023        0.00000018        0.00000005
       -4.10684474        0.00015916        0.00014855        0.00001061
       -4.09015025        0.00106702        0.00099632        0.00007070
       -4.07345576        0.00294068        0.00274664        0.00019405
       -4.05676127        0.00391416        0.00366381        0.00025035
       -4.04006678        0.00464723        0.00435601        0.00029122
       -4.02337229        0.00566107        0.00531101        0.00035006
       -4.00667780        0.00921470        0.00863353        0.00058117
       -3.98998331        0.00982944        0.00918377        0.00064566
       -3.97328881        0.01032990        0.00963886        0.00069103
       -3.95659432        0.00915640        0.00856637        0.00059004
       -3.93989983        0.01177316        0.01112942        0.00064374
       -3.92320534        0.01692843        0.01590422        0.00102421
       -3.90651085        0.01083377        0.01019609        0.00063768
       -3.88981636        0.01134646        0.01073734        0.00060912
       -3.87312187        0.01044503        0.00995174        0.00049328
       -3.85642738        0.01277587        0.01219471        0.00058117
       -3.83973289        0.01840250        0.01749979        0.00090270
       -3.82303840        0.03274896        0.03138819        0.00136076
       -3.80634391        0.02189645        0.02089865        0.00099780
       -3.78964942        0.03905036        0.03727201        0.00177835
       -3.77295492        0.09552729        0.09211329        0.00341400
       -3.75626043        0.09329501        0.08966781        0.00362720
       -3.73956594        0.07904178        0.07599462        0.00304716
       -3.72287145        0.06319089        0.06096299        0.00222790
       -3.70617696        0.05697753        0.05483661        0.00214092
       -3.68948247        0.06276253        0.06016415        0.00259838
       -3.67278798        0.05163070        0.04905926        0.00257144
       -3.65609349        0.05094221        0.04868492        0.00225729
       -3.63939900        0.04667161        0.04454068        0.00213093
       -3.62270451        0.04419782        0.04248820        0.00170962
       -3.60601002        0.04326307        0.04113178        0.00213129
       -3.58931553        0.03048082        0.02911112        0.00136970
       -3.57262104        0.03422527        0.03260491        0.00162035
       -3.55592654        0.03028861        0.02854281        0.00174580
       -3.53923205        0.02384972        0.02210560        0.00174411
       -3.52253756        0.03113688        0.02783929        0.00329760
       -3.50584307        0.03346489        0.02994655        0.00351834
       -3.48914858        0.03960546        0.03720499        0.00240047
       -3.47245409        0.03259689        0.02889252        0.00370438
       -3.45575960        0.02958547        0.02528011        0.00430536
       -3.43906511        0.03356265        0.02929725        0.00426539
       -3.42237062        0.02674231        0.02391701        0.00282529
       -3.40567613        0.02257456        0.02064749        0.00192707
       -3.38898164        0.03882387        0.03744868        0.00137519
       -3.37228715        0.02574380        0.02470788        0.00103592
       -3.35559265        0.02824530        0.02645040        0.00179489
       -3.33889816        0.04620138        0.03990453        0.00629685
       -3.32220367        0.10347521        0.08789562        0.01557959
       -3.30550918        0.07358945        0.06491233        0.00867712
       -3.28881469        0.04669253        0.04107068        0.00562186
       -3.27212020        0.03093093        0.02890399        0.00202693
       -3.25542571        0.02114278        0.02007339        0.00106940
       -3.23873122        0.03898643        0.03613795        0.00284848
       -3.22203673        0.08794498        0.07566157        0.01228341
       -3.20534224        0.06348018        0.05869669        0.00478349
       -3.18864775        0.06048906        0.05569421        0.00479485
       -3.17195326        0.04691686        0.04454127        0.00237559
       -3.15525876        0.05334404        0.05170912        0.00163492
       -3.13856427        0.05008953        0.04686724        0.00322229
       -3.12186978        0.11522514        0.10227487        0.01295027
       -3.10517529        0.19395531        0.17195411        0.02200120
       -3.08848080        0.12983310        0.11715736        0.01267574
       -3.07178631        0.08696574        0.08072802        0.00623771
       -3.05509182        0.08628083        0.08045263        0.00582820
       -3.03839733        0.24004186        0.21412368        0.02591818
       -3.02170284        0.24493473        0.21548007        0.02945466
       -3.00500835        0.10398591        0.09332493        0.01066098
       -2.98831386        0.05851099        0.05375171        0.00475928
       -2.97161937        0.05349155        0.04862604        0.00486551
       -2.95492487        0.08373657        0.07476321        0.00897335
       -2.93823038        0.03956081        0.03659913        0.00296168
       -2.92153589        0.07561090        0.06908113        0.00652977
       -2.90484140        0.14941212        0.13380537        0.01560675
       -2.88814691        0.12277895        0.11064854        0.01213041
       -2.87145242        0.07572581        0.06946390        0.00626191
       -2.85475793        0.05122764        0.04784380        0.00338384
       -2.83806344        0.04826111        0.04505618        0.00320493
       -2.82136895        0.04771066        0.04271944        0.00499122
       -2.80467446        0.08064591        0.07066443        0.00998148
       -2.78797997        0.13237190        0.11674677        0.01562513
       -2.77128548        0.30354785        0.26867586        0.03487199
       -2.75459098        0.18146772        0.16012355        0.02134417
       -2.73789649        0.21139991        0.18556923        0.02583067
       -2.72120200        0.12901958        0.11376746        0.01525212
       -2.70450751        0.08301248        0.07330230        0.00971018
       -2.68781302        0.06102876        0.05462825        0.00640051
       -2.67111853        0.04519246        0.04061045        0.00458201
       -2.65442404        0.04335716        0.03963817        0.00371899
       -2.63772955        0.03594896        0.03263083        0.00331812
       -2.62103506        0.03516918        0.03171067        0.00345851
       -2.60434057        0.03107843        0.02757228        0.00350615
       -2.58764608        0.04182751        0.03662471        0.00520280
       -2.57095159        0.06068762        0.05271104        0.00797658
       -2.55425710        0.13011188        0.11319214        0.01691975
       -2.53756260        0.25131459        0.21802995        0.03328464
       -2.52086811        0.14095131        0.12259637        0.01835494
       -2.50417362        0.07717436        0.06712208        0.01005227
       -2.48747913        0.07439935        0.06428621        0.01011314
       -2.47078464        0.06477179        0.05591085        0.00886094
       -2.45409015        0.08026746        0.06965961        0.01060785
       -2.43739566        0.12861614        0.11228853        0.01632761
       -2.42070117        0.13714387        0.12007942        0.01706445
       -2.40400668        0.11403285        0.09997124        0.01406161
       -2.38731219        0.11499061        0.10023983        0.01475078
       -2.37061770        0.08096883        0.07011213        0.01085670
       -2.35392321        0.07980682        0.06924019        0.01056662
       -2.33722871        0.07530112        0.06536941        0.00993171
       -2.32053422        0.04652035        0.04005654        0.00646381
       -2.30383973        0.05426425        0.04633473        0.00792952
       -2.28714524        0.20149735        0.17439373        0.02710362
       -2.27045075        0.19826170        0.17261255        0.02564915
       -2.25375626        0.11933975        0.10352955        0.01581021
       -2.23706177        0.12223243        0.10664981        0.01558262
       -2.22036728        0.17736730        0.15571292        0.02165438
       -2.20367279        0.13952251        0.12203175        0.01749077
       -2.18697830        0.09572163        0.08231172        0.01340991
       -2.17028381        0.08864066        0.07562665        0.01301402
       -2.15358932        0.12124321        0.10347747        0.01776575
       -2.13689482        0.09052591        0.07322547        0.01730044
       -2.12020033        0.09399055        0.07632634        0.01766421
       -2.10350584        0.10232606        0.08361020        0.01871586
       -2.08681135        0.13703566        0.11461515        0.02242051
       -2.07011686        0.20049091        0.17173475        0.02875616
       -2.05342237        0.22535660        0.19381120        0.03154540
       -2.03672788        0.21190215        0.18074872        0.03115343
       -2.02003339        0.24192347        0.20536372        0.03655975
       -2.00333890        0.23525864        0.20016415        0.03509449
       -1.98664441        0.31486936        0.27099609        0.04387327
       -1.96994992        0.38245437        0.33120713        0.05124724
       -1.95325543        0.39423291        0.33995695        0.05427595
       -1.93656093        0.47765359        0.41176167        0.06589192
       -1.91986644        0.30334890        0.25416860        0.04918030
       -1.90317195        0.54862724        0.45503803        0.09358921
       -1.88647746        0.28601181        0.19834067        0.08767113
       -1.86978297        0.41691489        0.25013922        0.16677567
       -1.85308848        1.19502077        0.65933972        0.53568105
       -1.83639399        0.97425616        0.47840429        0.49585187
       -1.81969950        1.38166523        0.67675340        0.70491183
       -1.80300501        2.22659903        1.35462850        0.87197054
       -1.78631052        2.18361718        1.21408817        0.96952901
       -1.76961603        2.03587919        1.07047483        0.96540436
       -1.75292154        2.40009453        1.29746152        1.10263302
       -1.73622705        3.01016786        1.74370598        1.26646188
       -1.71953255        5.67683083        3.64999496        2.02683587
       -1.70283806       15.34114317       10.91377107        4.42737210
       -1.68614357       13.52602357        9.95241611        3.57360746
       -1.66944908       12.29889116        8.10987560        4.18901556
       -1.65275459        2.77766073        1.80119078        0.97646995
       -1.63606010        1.55938026        1.04323355        0.51614671
       -1.61936561        7.33424654        5.10460715        2.22963939
       -1.60267112       10.53673540        6.83895529        3.69778011
       -1.58597663        4.07304238        2.52201958        1.55102280
       -1.56928214        3.10506624        1.79675371        1.30831254
       -1.55258765        3.88988479        2.17932944        1.71055535
       -1.53589316        1.89471113        0.98360804        0.91110309
       -1.51919866        2.28136648        1.19514502        1.08622146
       -1.50250417        1.72520605        0.96233827        0.76286778
       -1.48580968        1.99115164        1.09059647        0.90055517
       -1.46911519        1.69829745        0.94825558        0.75004188
       -1.45242070        1.56840093        0.91838003        0.65002090
       -1.43572621        1.73474895        1.10463242        0.63011653
       -1.41903172        1.60209861        1.04925757        0.55284104
       -1.40233723        1.17666362        0.81393506        0.36272856
       -1.38564274        1.00813953        0.85743334        0.15070620
       -1.36894825        0.67902538        0.60649293        0.07253245
       -1.35225376        0.80012334        0.72362283        0.07650051
       -1.33555927        2.84286607        2.53949777        0.30336829
       -1.31886477        0.69389601        0.62180316        0.07209285
       -1.30217028        0.47357871        0.42488789        0.04869082
       -1.28547579        0.52056098        0.47092740        0.04963359
       -1.26878130        0.88238642        0.80570888        0.07667755
       -1.25208681        1.02491189        0.93953393        0.08537797
       -1.23539232        0.95158014        0.87559016        0.07598998
       -1.21869783        0.71228778        0.65481254        0.05747524
       -1.20200334        0.59585925        0.54850841        0.04735084
       -1.18530885        0.42029551        0.38744798        0.03284753
